
지점정보,경도,위도,평균기온(°C),최저기온(°C),최고기온(°C)
속초(90),128.56473,38.25085,8,3.7,12.6
북춘천(93),127.75443,37.94738,7.1,0.5,14.3
철원(95),127.3042,38.14787,6.2,-0.3,13.4
동두천(98),127.0607,37.90188,7.7,1.6,15.5
파주(99),126.76648,37.88589,6.7,0.4,14
대관령(100),128.71834,37.67713,3,-2.9,9.2
춘천(101),127.7357,37.90262,7.8,1.8,14.8
백령도(102),124.71237,37.97396,6.1,3.3,9.4
북강릉(104),128.85535,37.80456,8.3,3.9,12.9
강릉(105),128.89099,37.75147,9.7,5,14.8
동해(106),129.12433,37.50709,8.6,4.2,12.8
서울(108),126.9658,37.57142,9,4.3,14.8
인천(112),126.6249,37.47772,7.7,4.2,12.3
원주(114),127.94659,37.33749,8.8,3.2,14.8
울릉도(115),130.89863,37.48129,8.1,5,11.8
수원(119),126.983,37.25746,8.1,2.7,14.6
영월(121),128.45743,37.18126,8.2,2,15
충주(127),127.9525,36.97045,8.1,1.8,14.9
서산(129),126.4939,36.77658,7.5,1.7,14.4
울진(130),129.41278,36.99176,8.9,4,13.5
청주(131),127.44066,36.63924,9.6,4.5,15.5
대전(133),127.37211,36.37198,9.6,4,15.9
추풍령(135),127.99458,36.22025,7.9,1.7,13.9
안동(136),128.70733,36.57293,8.3,2.3,14.4
상주(137),128.15741,36.40837,8.9,3,15.2
포항(138),129.38002,36.03201,10.7,6.5,14.8
군산(140),126.76135,36.0053,8.3,3.7,14
대구(143),128.65296,35.87797,10.2,4.7,16.1
전주(146),127.11718,35.84092,9.5,4.5,15.8
울산(152),129.33469,35.58237,10.5,5.9,15.4
창원(155),128.57282,35.17019,10.4,6,15.9
광주(156),126.89156,35.17294,10.6,5.6,17
부산(159),129.03203,35.10468,11.4,7.7,15.9
통영(162),128.43561,34.84541,10.9,6.8,15.8
목포(165),126.38151,34.81732,9.2,5.7,13.8
여수(168),127.74063,34.73929,11,7.8,15
흑산도(169),125.45105,34.68719,9,6.2,13.1
완도(170),126.70182,34.3959,10.7,6.3,15.7
고창(172),126.599,35.34824,8.3,2.9,14.8
순천(174),127.3694,35.0204,9.3,2.8,16.1
홍성(177),126.68772,36.65759,7.9,2,14.5
제주(184),126.52969,33.51411,12.5,9.3,16.1
고산(185),126.16283,33.29382,12,8.9,15.6
성산(188),126.8802,33.38677,12.3,8.1,16
서귀포(189),126.5653,33.24616,13.3,9.7,17
진주(192),128.04004,35.16378,9.8,2.9,16.9
강화(201),126.44634,37.70739,6.9,1.6,12.6
양평(202),127.49446,37.48863,8.6,2.6,15
이천(203),127.48421,37.26399,8.4,1.9,15.3
인제(211),128.16714,38.05986,6.7,0.9,13.7
홍천(212),127.88043,37.6836,7.4,1.2,14.6
태백(216),128.98929,37.17038,5.3,-0.1,11.2
정선군(217),128.6459,37.38149,7,0.9,14.2
제천(221),128.19433,37.15928,6.8,0.1,13.7
보은(226),127.73415,36.48761,7.7,1.1,14.5
천안(232),127.29282,36.76217,8,1.5,14.9
보령(235),126.55744,36.32724,7.8,3,13.3
부여(236),126.92079,36.27242,8.5,2,15.8
금산(238),127.48175,36.10563,8.4,1.8,15.7
세종(239),127.24438,36.48522,8.8,3.2,15.1
부안(243),126.71657,35.72961,8.4,3.6,14.5
임실(244),127.28556,35.61203,8.1,1.5,15.4
정읍(245),126.83904,35.56337,8.5,3.1,14.8
남원(247),127.39652,35.4213,9.2,2.7,16.3
장수(248),127.52031,35.65696,7.2,0.6,14.6
고창군(251),126.697,35.42661,8.6,3,15.3
영광군(252),126.47784,35.28366,8.2,3,14.2
김해시(253),128.89075,35.22981,10.8,6,16.7
순창군(254),127.1286,35.37131,9.3,2.8,16.4
북창원(255),128.6726,35.22655,11.9,6.9,17.9
양산시(257),129.02009,35.30737,11.2,6,16.9
보성군(258),127.21226,34.76335,10.5,4.6,16.4
강진군(259),126.78408,34.64457,10.1,4.5,16.3
장흥(260),126.91951,34.68886,9.6,3.2,15.9
해남(261),126.56907,34.55375,8.9,2.8,15.4
고흥(262),127.27572,34.61826,9.6,3.4,15.8
의령군(263),128.28812,35.32258,10.1,2.8,17.6
함양군(264),127.74538,35.51138,9,2.1,16.3
광양시(266),127.6914,34.9434,11.3,6.6,16.6
진도군(268),126.25846,34.47296,9.6,4.8,14.7
봉화(271),128.91449,36.94361,5.9,-0.3,12.2
영주(272),128.51687,36.87183,8,1.9,14.1
문경(273),128.14879,36.62727,8.5,2.5,14.4
청송군(276),129.04005,36.4351,6.9,-0.2,14.3
영덕(277),129.40926,36.53337,9.2,3.7,14.9
의성(278),128.68864,36.3561,8,0.9,15.6
구미(279),128.32055,36.13055,9.8,4,16
영천(281),128.9514,35.97742,8.9,2.4,15.3
경주시(283),129.2009,35.8174,9.2,3.1,15.8
거창(284),127.9099,35.66739,8.7,1.8,15.9
합천(285),128.16994,35.56505,9.7,3.4,16.4
밀양(288),128.74412,35.49147,10.1,3.9,16.9
산청(289),127.8791,35.413,9.5,3.1,16.2
거제(294),128.60459,34.88818,10.8,6.4,15.6
남해(295),127.92641,34.81662,10.6,6,15.8
