지점정보,경도,위도,평균기온(°C),최저기온(°C),최고기온(°C)
속초(90),128.56473,38.25085,15.5,11.6,20
북춘천(93),127.75443,37.94738,13.1,7.9,19.6
철원(95),127.3042,38.14787,12.7,7.3,19.2
동두천(98),127.0607,37.90188,13.7,8.5,19.9
파주(99),126.76648,37.88589,13,7.6,19.8
대관령(100),128.71834,37.67713,9.7,4.8,15.8
춘천(101),127.7357,37.90262,14,9.5,20
백령도(102),124.71237,37.97396,16.1,13.6,18.7
북강릉(104),128.85535,37.80456,15.2,11.3,19.8
강릉(105),128.89099,37.75147,16.5,12.5,21.4
동해(106),129.12433,37.50709,15.8,12,20.2
서울(108),126.9658,37.57142,15.6,11.6,20.5
인천(112),126.6249,37.47772,16,12.5,19.6
원주(114),127.94659,37.33749,14.4,10,19.8
울릉도(115),130.89863,37.48129,15.8,13.3,19.1
수원(119),126.983,37.25746,15.6,10.9,21
영월(121),128.45743,37.18126,13.5,9.2,20.2
충주(127),127.9525,36.97045,13.8,9,20.3
서산(129),126.4939,36.77658,15.2,10.1,21.5
울진(130),129.41278,36.99176,15.7,11.5,20.7
청주(131),127.44066,36.63924,16.1,11.6,21.3
대전(133),127.37211,36.37198,15.7,10.8,21.9
추풍령(135),127.99458,36.22025,13.5,8.3,19.8
안동(136),128.70733,36.57293,14.2,9.6,20.8
상주(137),128.15741,36.40837,14.5,9.6,21.1
포항(138),129.38002,36.03201,17.6,13.7,22.1
군산(140),126.76135,36.0053,16,11.5,21.6
대구(143),128.65296,35.87797,16.5,11.5,22.7
전주(146),127.11718,35.84092,16.4,11.6,22.2
울산(152),129.33469,35.58237,17.1,13,22.1
창원(155),128.57282,35.17019,17.4,13.4,22.7
광주(156),126.89156,35.17294,17.2,12.8,22.7
부산(159),129.03203,35.10468,18.7,15.2,23.3
통영(162),128.43561,34.84541,18.3,14.3,23.4
목포(165),126.38151,34.81732,17.7,14.3,21.8
여수(168),127.74063,34.73929,18.6,15.6,22.3
흑산도(169),125.45105,34.68719,18.1,16.1,21.2
완도(170),126.70182,34.3959,18.2,14.5,22.9
고창(172),126.599,35.34824,15.8,10.7,22.2
순천(174),127.3694,35.0204,15.2,9.8,22.5
홍성(177),126.68772,36.65759,15.2,9.8,21.1
제주(184),126.52969,33.51411,20.1,17.1,23.8
고산(185),126.16283,33.29382,19.9,17.3,23.1
성산(188),126.8802,33.38677,19.6,16.1,23.3
서귀포(189),126.5653,33.24616,20.4,17.5,23.7
진주(192),128.04004,35.16378,15.9,10.3,22.9
강화(201),126.44634,37.70739,14.4,9.7,19.6
양평(202),127.49446,37.48863,14.3,10.1,20.2
이천(203),127.48421,37.26399,14.1,9,20.7
인제(211),128.16714,38.05986,12.7,8.2,19.2
홍천(212),127.88043,37.6836,13.1,8.4,19.9
태백(216),128.98929,37.17038,11,6.2,16.9
정선군(217),128.6459,37.38149,12.9,8.5,19.8
제천(221),128.19433,37.15928,12.3,7.3,19.2
보은(226),127.73415,36.48761,13.1,7.9,20.6
천안(232),127.29282,36.76217,14,8.9,20.5
보령(235),126.55744,36.32724,16.1,11.8,21.4
부여(236),126.92079,36.27242,14.7,9.5,21.8
금산(238),127.48175,36.10563,13.8,8.7,21.2
세종(239),127.24438,36.48522,15,10.3,21
부안(243),126.71657,35.72961,16,11.2,21.9
임실(244),127.28556,35.61203,13.8,8.3,21.1
정읍(245),126.83904,35.56337,15.6,10.8,21.5
남원(247),127.39652,35.4213,14.8,9.2,21.8
장수(248),127.52031,35.65696,12.6,6.6,20.5
고창군(251),126.697,35.42661,15.8,10.8,21.8
영광군(252),126.47784,35.28366,15.9,11,21.9
김해시(253),128.89075,35.22981,17.6,12.9,23.5
순창군(254),127.1286,35.37131,15,9.6,22.1
북창원(255),128.6726,35.22655,17.8,13.2,23.6
양산시(257),129.02009,35.30737,17.6,12.7,23.9
보성군(258),127.21226,34.76335,17,11.7,23.3
강진군(259),126.78408,34.64457,17,11.9,23.4
장흥(260),126.91951,34.68886,16.1,10.6,22.8
해남(261),126.56907,34.55375,15.6,9.7,22.3
고흥(262),127.27572,34.61826,16.4,11.2,23
의령군(263),128.28812,35.32258,15.6,9.9,23.8
함양군(264),127.74538,35.51138,14.4,8.5,22.8
광양시(266),127.6914,34.9434,17.8,13.2,23.3
진도군(268),126.25846,34.47296,16.9,12.1,21.9
봉화(271),128.91449,36.94361,11.3,6.4,18.1
영주(272),128.51687,36.87183,13.3,8,20
문경(273),128.14879,36.62727,14,9.1,20.3
청송군(276),129.04005,36.4351,13.1,8.2,21.1
영덕(277),129.40926,36.53337,15.4,11.1,21.1
의성(278),128.68864,36.3561,13.8,8.5,21.7
구미(279),128.32055,36.13055,15.2,10.4,21.8
영천(281),128.9514,35.97742,14.8,9.5,21.8
경주시(283),129.2009,35.8174,15.7,10.6,22.5
거창(284),127.9099,35.66739,14,8.1,21.9
합천(285),128.16994,35.56505,15.4,10.3,22.6
밀양(288),128.74412,35.49147,16.5,11.2,23.4
산청(289),127.8791,35.413,14.9,9.4,22.3
거제(294),128.60459,34.88818,17.4,13.5,22.4
남해(295),127.92641,34.81662,17.2,13.5,22.3
