,0
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,10
10,11
11,12
12,13
13,14
14,17
15,18
16,19
17,20
18,21
19,22
20,23
21,24
22,25
23,27
24,28
25,29
26,30
27,32
28,33
29,34
30,35
31,36
32,37
33,38
34,39
35,40
36,41
37,42
38,43
39,44
40,45
41,46
42,47
43,48
44,49
45,50
46,51
47,52
48,53
49,54
50,55
51,56
52,57
53,58
54,59
55,60
56,61
57,62
58,63
59,65
60,66
61,67
62,68
63,69
64,70
65,72
66,73
67,74
68,75
69,76
70,77
71,78
72,79
73,80
74,81
75,83
76,84
77,85
78,86
79,87
80,88
81,89
82,90
83,91
84,92
85,93
86,94
87,95
88,96
89,97
90,98
91,99
92,100
93,102
94,103
95,104
96,105
97,106
98,107
99,108
100,109
101,110
102,111
103,112
104,113
105,114
106,115
107,116
108,117
109,119
110,120
111,121
112,122
113,123
114,124
115,125
116,126
117,127
118,128
119,129
120,130
121,131
122,132
123,133
124,134
125,135
126,136
127,137
128,138
129,140
130,141
131,142
132,143
133,144
134,145
135,146
136,147
137,148
138,149
139,150
140,151
141,152
142,153
143,154
144,155
145,156
146,157
147,158
148,159
149,160
150,161
151,162
152,163
153,164
154,165
155,166
156,167
157,168
158,169
159,170
160,171
161,172
162,173
163,174
164,175
165,176
166,177
167,178
168,179
169,180
170,181
171,182
172,183
173,184
174,185
175,186
176,187
177,188
178,189
179,190
180,191
181,192
182,193
183,194
184,195
185,196
186,197
187,198
188,199
189,200
190,202
191,203
192,204
193,205
194,206
195,207
196,208
197,209
198,210
199,211
200,213
201,214
202,215
203,216
204,217
205,218
206,219
207,220
208,221
209,222
210,223
211,224
212,225
213,226
214,227
215,228
216,229
217,230
218,231
219,232
220,233
221,234
222,235
223,236
224,237
225,238
226,239
227,240
228,241
229,242
230,243
231,244
232,245
233,246
234,247
235,248
236,249
237,250
238,252
239,253
240,254
241,255
242,256
243,257
244,258
245,259
246,260
247,261
248,262
249,263
250,264
251,265
252,266
253,267
254,268
255,269
256,270
257,271
258,272
259,273
260,274
261,275
262,276
263,277
264,278
265,279
266,280
267,281
268,282
269,283
270,284
271,285
272,286
273,287
274,288
275,289
276,290
277,291
278,292
279,293
280,294
281,295
282,296
283,297
284,298
285,299
286,300
287,301
288,302
289,304
290,305
291,306
292,307
293,308
294,309
295,310
296,311
297,312
298,313
299,314
300,316
301,317
302,319
303,320
304,321
305,322
306,323
307,324
308,325
309,326
310,327
311,328
312,329
313,330
314,331
315,333
316,336
317,337
318,338
319,339
320,340
321,341
322,342
323,343
324,344
325,345
326,346
327,347
328,348
329,349
330,351
331,352
332,353
333,354
334,355
335,356
336,357
337,358
338,359
339,360
340,361
341,362
342,363
343,364
344,365
345,366
346,367
347,368
348,369
349,370
350,371
351,372
352,373
353,375
354,376
355,377
356,378
357,379
358,380
359,381
360,382
361,383
362,384
363,385
364,386
365,387
366,388
367,389
368,390
369,391
370,392
371,393
372,394
373,395
374,396
375,397
376,398
377,399
378,400
379,401
380,402
381,403
382,404
383,405
384,406
385,407
386,408
387,409
388,410
389,411
390,412
391,413
392,414
393,415
394,416
395,417
396,418
397,419
398,420
399,421
400,422
401,423
402,424
403,426
404,427
405,428
406,429
407,430
408,431
409,432
410,433
411,434
412,435
413,436
414,437
415,439
416,440
417,442
418,443
419,444
420,445
421,446
422,447
423,448
424,449
425,450
426,451
427,452
428,453
429,454
430,455
431,456
432,457
433,458
434,459
435,460
436,461
437,462
438,463
439,464
440,465
441,466
442,467
443,468
444,469
445,470
446,472
447,473
448,474
449,475
450,476
451,477
452,478
453,479
454,480
455,481
456,482
457,483
458,484
459,485
460,486
461,487
462,488
463,489
464,490
465,491
466,492
467,493
468,495
469,496
470,497
471,498
472,499
473,501
474,503
475,506
476,507
477,508
478,510
479,511
480,512
481,513
482,514
483,515
484,516
485,517
486,518
487,520
488,521
489,522
490,523
491,524
492,525
493,526
494,527
495,528
496,529
497,530
498,531
499,532
500,533
501,534
502,535
503,536
504,537
505,538
506,539
507,540
508,541
509,542
510,543
511,544
512,545
513,546
514,547
515,548
516,549
517,550
518,551
519,552
520,553
521,554
522,555
523,556
524,557
525,558
526,559
527,560
528,561
529,562
530,563
531,564
532,565
533,566
534,567
535,570
536,571
537,572
538,573
539,574
540,575
541,576
542,577
543,578
544,579
545,580
546,581
547,582
548,583
549,585
550,586
551,587
552,588
553,589
554,590
555,591
556,593
557,594
558,595
559,596
560,598
561,600
562,601
563,602
564,603
565,604
566,605
567,606
568,607
569,608
570,609
571,610
572,611
573,612
574,613
575,614
576,615
577,616
578,617
579,618
580,619
581,620
582,621
583,622
584,623
585,624
586,625
587,626
588,627
589,629
590,630
591,631
592,632
593,633
594,634
595,635
596,636
597,637
598,638
599,640
600,641
601,642
602,643
603,644
604,645
605,646
606,647
607,648
608,649
609,650
610,653
611,654
612,656
613,657
614,658
615,659
616,660
617,661
618,662
619,663
620,664
621,665
622,666
623,667
624,668
625,669
626,670
627,671
628,672
629,673
630,674
631,675
632,676
633,677
634,678
635,679
636,680
637,681
638,683
639,684
640,685
641,686
642,687
643,688
644,689
645,690
646,691
647,692
648,693
649,694
650,695
651,696
652,697
653,698
654,699
655,700
656,701
657,702
658,703
659,705
660,706
661,707
662,708
663,709
664,710
665,711
666,712
667,713
668,714
669,715
670,716
671,717
672,718
673,719
674,720
675,721
676,723
677,724
678,725
679,728
680,729
681,730
682,732
683,733
684,734
685,735
686,736
687,737
688,738
689,739
690,740
691,741
692,742
693,743
694,744
695,745
696,746
697,747
698,748
699,751
700,752
701,753
702,754
703,755
704,756
705,757
706,758
707,759
708,760
709,761
710,762
711,763
712,764
713,765
714,766
715,767
716,768
717,769
718,770
719,771
720,772
721,773
722,775
723,776
724,777
725,778
726,779
727,780
728,781
729,782
730,783
731,784
732,785
733,786
734,787
735,788
736,789
737,790
738,791
739,792
740,793
741,794
742,795
743,796
744,797
745,798
746,800
747,801
748,802
749,803
750,804
751,805
752,806
753,807
754,809
755,810
756,811
757,812
758,813
759,815
760,816
761,817
762,818
763,820
764,822
765,823
766,824
767,825
768,826
769,827
770,828
771,829
772,831
773,832
774,834
775,835
776,837
777,838
778,839
779,840
780,841
781,842
782,843
783,845
784,846
785,847
786,848
787,849
788,850
789,851
790,852
791,853
792,854
793,855
794,856
795,857
796,858
797,859
798,860
799,861
800,862
801,863
802,864
803,865
804,866
805,867
806,868
807,869
808,870
809,871
810,872
811,873
812,874
813,875
814,876
815,877
816,878
817,879
818,880
819,881
820,882
821,883
822,884
823,886
824,887
825,888
826,889
827,890
828,891
829,892
830,893
831,894
832,895
833,896
834,897
835,898
836,899
837,900
838,901
839,902
840,903
841,904
842,906
843,907
844,908
845,909
846,910
847,911
848,912
849,913
850,914
851,915
852,916
853,917
854,918
855,919
856,920
857,922
858,924
859,925
860,926
861,927
862,928
863,929
864,930
865,931
866,932
867,933
868,934
869,935
870,936
871,937
872,938
873,939
874,940
875,941
876,943
877,944
878,946
879,947
880,948
881,949
882,950
883,951
884,952
885,953
886,954
887,955
888,956
889,957
890,958
891,959
892,960
893,961
894,962
895,963
896,964
897,965
898,966
899,967
900,968
901,969
902,970
903,971
904,972
905,973
906,974
907,975
908,976
909,977
910,978
911,979
912,980
913,981
914,982
915,983
916,984
917,985
918,986
919,987
920,988
921,989
922,990
923,992
924,993
925,994
926,995
927,996
928,998
929,999
930,1001
931,1002
932,1003
933,1004
934,1005
935,1006
936,1007
937,1008
938,1009
939,1010
940,1011
941,1012
942,1013
943,1014
944,1015
945,1016
946,1018
947,1019
948,1020
949,1021
950,1022
951,1023
952,1024
953,1025
954,1026
955,1028
956,1029
957,1030
958,1031
959,1032
960,1033
961,1034
962,1035
963,1036
964,1037
965,1038
966,1039
967,1040
968,1041
969,1042
970,1043
971,1044
972,1045
973,1046
974,1047
975,1048
976,1049
977,1050
978,1052
979,1053
980,1054
981,1055
982,1056
983,1058
984,1059
985,1060
986,1061
987,1062
988,1063
989,1064
990,1065
991,1066
992,1067
993,1069
994,1070
995,1071
996,1072
997,1073
998,1074
999,1075
1000,1076
1001,1077
1002,1078
1003,1079
1004,1080
1005,1081
1006,1082
1007,1083
1008,1084
1009,1085
1010,1086
1011,1088
1012,1089
1013,1090
1014,1091
1015,1092
1016,1094
1017,1095
1018,1096
1019,1097
1020,1099
1021,1100
1022,1101
1023,1102
1024,1103
1025,1104
1026,1105
1027,1106
1028,1107
1029,1108
1030,1110
1031,1111
1032,1112
1033,1114
1034,1115
1035,1116
1036,1117
1037,1118
1038,1119
